open,high,low,close,volume,trade_count,vwap
102014.295,102079.091,101969.494,101969.494,0.0,0.0,102024.2925
101922.7495,101962.389,101922.7495,101962.389,0.0,0.0,101942.56925
101912.6,101912.6,101912.6,101912.6,0.0,0.0,101912.6
101958.0915,101958.0915,101958.0915,101958.0915,0.0,0.0,101958.0915
101936.2315,101936.2315,101936.2315,101936.2315,0.0,0.0,101936.2315
101857.68,101913.355,101857.68,101913.355,0.0,0.0,101885.5175
101965.1425,101965.1425,101857.8355,101909.2065,0.0,0.0,101911.489
101971.6,101971.6,101905.85,101905.85,0.0,0.0,101938.725
101976.7235,102017.317,101976.7235,102017.317,0.0,0.0,101997.02025
102051.3065,102051.3065,102051.3065,102051.3065,0.0,0.0,102051.3065
102121.3605,102165.215,102121.3605,102165.215,0.0,0.0,102143.28775
102218.038,102218.038,102193.9645,102193.9645,0.0,0.0,102206.00125
102212.5,102248.154,102212.5,102248.154,0.0,0.0,102230.327
102216.8815,102216.8815,102216.8815,102216.8815,0.0,0.0,102216.8815
102246.95,102272.825,102246.95,102272.825,0.0,0.0,102259.8875
102241.03,102241.03,102241.03,102241.03,0.0,0.0,102241.03
102265.1,102406.327,102265.1,102406.327,0.001,1.0,102290.0
102352.1755,102352.1755,102282.725,102282.725,0.0,0.0,102317.45025
102315.627,102387.999,102315.627,102337.65,0.0,0.0,102351.813
102276.6,102276.6,102226.415,102226.415,0.0,0.0,102251.5075
102188.1405,102267.28,102188.1405,102267.28,0.0,0.0,102227.71025
102214.25,102323.6125,102214.25,102323.6125,0.0,0.0,102268.93125
102365.01,102365.01,102365.01,102365.01,0.0,0.0,102365.01
102309.64,102309.64,102309.64,102309.64,0.0,0.0,102309.64
102376.3845,102376.3845,102376.3845,102376.3845,0.0,0.0,102376.3845
102430.391,102430.391,102430.391,102430.391,0.0,0.0,102430.391
102359.4515,102359.4515,102359.4515,102359.4515,0.0,0.0,102359.4515
102341.5615,102341.5615,102276.3105,102276.3105,0.0,0.0,102308.936
102199.405,102273.91,102199.405,102242.835,0.004757025,1.0,102273.91
102175.7,102219.5925,102175.7,102219.5925,0.0,0.0,102197.64625
102160.409,102160.409,102160.409,102160.409,0.0,0.0,102160.409
102124.1575,102124.1575,102124.1575,102124.1575,0.0,0.0,102124.1575
102074.4885,102074.4885,102074.4885,102074.4885,0.0,0.0,102074.4885
102124.415,102181.895,102124.415,102181.895,0.0,0.0,102153.155
102244.0915,102294.9875,102244.0915,102294.9875,0.0,0.0,102269.5395
102241.1515,102241.1515,102241.1515,102241.1515,0.0,0.0,102241.1515
102302.611,102302.611,102302.611,102302.611,0.0,0.0,102302.611
102329.01,102329.01,102329.01,102329.01,0.0,0.0,102329.01
102406.472,102443.421,102406.472,102443.421,0.0,0.0,102424.9465
102384.6,102384.6,102332.755,102332.755,0.0,0.0,102358.6775
102291.987,102291.987,102291.987,102291.987,0.0,0.0,102291.987
102339.42,102395.695,102339.42,102395.695,0.0,0.0,102367.5575
102325.155,102401.19,102325.155,102325.269,0.0,0.0,102363.1725
102290.495,102290.495,102290.495,102290.495,0.0,0.0,102290.495
102336.465,102336.465,102336.465,102336.465,0.0,0.0,102336.465
102288.25,102288.25,102288.25,102288.25,0.0,0.0,102288.25
102354.65,102376.875,102354.65,102376.875,0.0,0.0,102365.7625
102439.138,102439.138,102439.138,102439.138,0.0,0.0,102439.138
102489.153,102518.95,102489.153,102518.95,0.0,0.0,102504.0515
102478.72,102478.72,102478.72,102478.72,0.0,0.0,102478.72
102447.2775,102447.2775,102387.2695,102387.2695,0.0,0.0,102417.2735
102433.74,102433.74,102433.74,102433.74,0.0,0.0,102433.74
102494.5,102510.885,102494.5,102510.885,0.0,0.0,102502.6925
102499.2,102499.2,102499.2,102499.2,0.0,0.0,102499.2
102520.3435,102541.005,102520.3435,102541.005,0.0,0.0,102530.67425
102555.0,102661.82,102555.0,102597.225,0.001,1.0,102555.0
102547.5885,102718.95,102547.5885,102718.95,0.0,0.0,102633.26925
102762.273,102762.273,102762.273,102762.273,0.0,0.0,102762.273
102716.605,102716.605,102716.605,102716.605,0.0,0.0,102716.605
102746.1505,102746.1505,102746.1505,102746.1505,0.0,0.0,102746.1505
102783.6,102783.6,102783.6,102783.6,0.0,0.0,102783.6
102806.4845,102806.4845,102768.8,102768.8,0.0,0.0,102787.64225
102741.5065,102741.5065,102741.5065,102741.5065,0.0,0.0,102741.5065
102708.2,102708.2,102708.2,102708.2,0.0,0.0,102708.2
102672.2625,102672.2625,102600.11,102600.11,0.0,0.0,102636.18625
102660.38,102660.38,102660.38,102660.38,0.0,0.0,102660.38
102716.803,102716.803,102716.803,102716.803,0.0,0.0,102716.803
102740.36,102740.36,102740.36,102740.36,0.0,0.0,102740.36
102694.945,102694.945,102647.608,102647.608,0.0,0.0,102671.2765
102723.04,102723.04,102647.608,102670.74,0.000189449,1.0,102723.04
102694.655,102694.655,102694.655,102694.655,0.0,0.0,102694.655
102745.6,102745.6,102745.6,102745.6,0.0,0.0,102745.6
102789.8615,102789.8615,102789.8615,102789.8615,0.0,0.0,102789.8615
102799.998,102799.998,102799.998,102799.998,0.0,0.0,102799.998
102782.0625,102803.422,102782.0625,102803.422,0.0,0.0,102792.74225
102750.428,102750.428,102750.428,102750.428,0.0,0.0,102750.428
102699.621,102699.621,102699.621,102699.621,0.0,0.0,102699.621
102757.305,102757.305,102757.305,102757.305,0.0,0.0,102757.305
102784.7695,102784.7695,102784.7695,102784.7695,0.0,0.0,102784.7695
102817.2445,102896.535,102817.2445,102885.45,0.001,1.0,102820.0
102915.7935,102915.7935,102915.7935,102915.7935,0.0,0.0,102915.7935
102884.587,102915.7935,102884.587,102903.12,0.00089775,1.0,102884.587
102931.3,102931.3,102931.3,102931.3,0.0,0.0,102931.3
102947.0,103130.662,102947.0,103130.662,0.011052436,3.0,103073.5312542339
103084.785,103084.785,103084.785,103084.785,0.0,0.0,103084.785
103136.533,103136.533,103136.533,103136.533,0.0,0.0,103136.533
103148.025,103148.025,103136.79,103136.79,0.0,0.0,103142.4075
103090.3,103090.3,103090.3,103090.3,0.0,0.0,103090.3
103124.005,103289.24,103124.005,103289.24,0.007252305,2.0,103184.1370316058
103254.1365,103254.1365,103213.835,103250.933,0.0,0.0,103233.98575
103309.256,103309.256,103309.256,103309.256,0.0,0.0,103309.256
103319.691,103319.691,103319.691,103319.691,0.0,0.0,103319.691
103286.55,103286.55,103246.3355,103246.3355,0.0,0.0,103266.44275
103329.071,103329.071,103215.91,103215.91,1.0341e-05,1.0,103329.071
103140.962,103140.962,103140.962,103140.962,0.0,0.0,103140.962
103089.39,103089.39,103089.39,103089.39,0.0,0.0,103089.39
103158.78,103158.78,103158.78,103158.78,0.0,0.0,103158.78
103082.526,103082.526,103082.526,103082.526,0.0,0.0,103082.526
103023.8205,103023.8205,102996.189,102996.189,0.0,0.0,103010.00475
102920.834,102920.834,102920.834,102920.834,0.0,0.0,102920.834
102978.325,102978.325,102961.6975,102961.6975,0.0,0.0,102970.01125
103027.3,103027.3,102961.6975,102977.855,0.005669256,1.0,103027.3
102911.38,102911.38,102911.38,102911.38,0.0,0.0,102911.38
102991.06,102991.06,102911.38,102934.5,0.009,1.0,102991.06
102981.6,102981.6,102927.4405,102927.4405,0.000878137,1.0,102981.6
102997.375,103043.5645,102997.375,103043.5645,0.0,0.0,103020.46975
103075.6,103075.6,103075.6,103075.6,0.0,0.0,103075.6
103043.8135,103043.8135,103043.8135,103043.8135,0.0,0.0,103043.8135
103106.8925,103106.8925,103106.8925,103106.8925,0.0,0.0,103106.8925
103026.556,103026.556,103026.556,103026.556,0.0,0.0,103026.556
103081.631,103081.631,103081.631,103081.631,0.0,0.0,103081.631
103052.483,103052.483,103052.483,103052.483,0.0,0.0,103052.483
103093.769,103093.769,103093.769,103093.769,0.0,0.0,103093.769
103137.82,103137.82,103137.82,103137.82,0.0,0.0,103137.82
103079.145,103079.145,103079.145,103079.145,0.0,0.0,103079.145
103040.95,103040.95,102978.8,102978.8,0.0,0.0,103009.875
102924.985,102924.985,102876.4,102876.4,0.0,0.0,102900.6925
102925.0,103004.351,102925.0,102988.19,0.002603234,1.0,102930.472
103042.462,103042.462,103042.462,103042.462,0.0,0.0,103042.462
103109.443,103109.443,103109.443,103109.443,0.0,0.0,103109.443
103045.4525,103045.4525,103045.4525,103045.4525,0.0,0.0,103045.4525
102985.544,102985.544,102985.544,102985.544,0.0,0.0,102985.544
103020.8575,103020.8575,103020.8575,103020.8575,0.0,0.0,103020.8575
103012.3,103012.3,103012.3,103012.3,0.0,0.0,103012.3
103059.12,103059.12,103059.12,103059.12,0.0,0.0,103059.12
103106.575,103106.575,103106.575,103106.575,0.0,0.0,103106.575
103158.404,103158.404,103158.404,103158.404,0.0,0.0,103158.404
103205.135,103205.135,103205.135,103205.135,0.0,0.0,103205.135
103276.2,103276.2,103224.5,103271.502,0.101812139,1.0,103224.5
103242.085,103242.085,103242.085,103242.085,0.0,0.0,103242.085
103202.1785,103244.6,103198.2015,103198.2015,0.00235615,1.0,103244.6
103247.627,103250.4035,103247.627,103250.4035,0.0,0.0,103249.01525
103297.0,103297.0,103297.0,103297.0,0.0,0.0,103297.0
103327.87,103327.87,103304.15,103304.15,0.0,0.0,103316.01
103299.75,103299.75,103299.75,103299.75,0.0,0.0,103299.75
103228.85,103228.85,103228.85,103228.85,0.0,0.0,103228.85
103175.0,103175.0,103175.0,103175.0,0.0,0.0,103175.0
103145.0,103145.0,103145.0,103145.0,0.0,0.0,103145.0
103081.2075,103081.2075,103081.2075,103081.2075,0.0,0.0,103081.2075
103047.4,103047.4,103047.4,103047.4,0.0,0.0,103047.4
102977.7,102977.7,102945.0675,102945.0675,0.0,0.0,102961.38375
102972.4025,102988.573,102972.4025,102988.573,0.0,0.0,102980.48775
103002.5,103002.5,103002.5,103002.5,0.0,0.0,103002.5
103035.1535,103035.1535,103006.29,103006.29,0.0,0.0,103020.72175
102928.574,103018.3285,102928.574,103018.3285,0.0,0.0,102973.45125
103059.402,103119.681,103059.402,103119.681,0.0,0.0,103089.5415
103143.5695,103143.5695,103143.5695,103143.5695,0.0,0.0,103143.5695
103222.3285,103222.3285,103222.3285,103222.3285,0.0,0.0,103222.3285
103152.75,103152.75,103109.651,103109.651,0.0,0.0,103131.2005
103066.565,103066.565,103066.565,103066.565,0.0,0.0,103066.565
103114.9125,103188.185,103105.4115,103105.4115,9.6023e-05,1.0,103188.185
103026.465,103026.465,102993.66,102993.66,0.0,0.0,103010.0625
102969.39,102969.39,102969.39,102969.39,0.0,0.0,102969.39
102982.775,102982.775,102960.8465,102960.8465,0.0,0.0,102971.81075
102917.8105,102917.8105,102917.8105,102917.8105,0.0,0.0,102917.8105
102894.0015,102894.0015,102894.0015,102894.0015,0.0,0.0,102894.0015
102875.3135,102889.1795,102854.2125,102854.2125,0.0,0.0,102871.696
102820.187,102820.187,102820.187,102820.187,0.0,0.0,102820.187
102842.275,102842.275,102842.275,102842.275,0.0,0.0,102842.275
102867.185,102909.013,102809.27,102909.013,0.00900023,1.0,102809.27
102859.8,102859.8,102859.8,102859.8,0.0,0.0,102859.8
102811.235,102811.235,102811.235,102811.235,0.0,0.0,102811.235
102756.891,102756.891,102756.891,102756.891,0.0,0.0,102756.891
102690.4485,102690.4485,102639.85,102639.85,0.0,0.0,102665.14925
102710.6,102710.6,102639.85,102667.598,0.000189472,1.0,102710.6
102736.99,102736.99,102667.598,102723.27,0.001,1.0,102736.99
102673.2985,102718.1695,102673.2985,102718.1695,0.0,0.0,102695.734
102772.952,102772.952,102772.952,102772.952,0.0,0.0,102772.952
102803.015,102803.015,102803.015,102803.015,0.0,0.0,102803.015
102729.23,102934.169,102729.23,102855.819,0.001942802,2.0,102828.9464129839
102813.195,102813.195,102813.195,102813.195,0.0,0.0,102813.195
102762.8415,102762.8415,102762.8415,102762.8415,0.0,0.0,102762.8415
102793.55,102793.55,102793.55,102793.55,0.0,0.0,102793.55
102819.525,102819.525,102739.07,102739.07,0.0,0.0,102779.2975
102798.755,102798.755,102735.765,102735.765,0.047327383,1.0,102798.755
102760.989,102760.989,102760.989,102760.989,0.0,0.0,102760.989
102745.505,102745.505,102745.505,102745.505,0.0,0.0,102745.505
102697.135,102697.135,102624.475,102675.5565,0.0,0.0,102660.805
102641.871,102641.871,102641.871,102641.871,0.0,0.0,102641.871
102594.375,102594.375,102536.35,102536.35,0.0,0.0,102565.3625
102597.469,102694.6,102597.469,102694.6,0.0,0.0,102646.0345
102738.4,102738.4,102738.4,102738.4,0.0,0.0,102738.4
102796.9125,102796.9125,102796.9125,102796.9125,0.0,0.0,102796.9125
102846.24,102893.255,102846.24,102893.255,0.0,0.0,102869.7475
102951.25,102951.25,102951.25,102951.25,0.0,0.0,102951.25
103000.115,103060.265,103000.115,103001.719,0.0,0.0,103030.19
102999.5,102999.5,102999.5,102999.5,0.0,0.0,102999.5
103066.485,103066.485,103066.485,103066.485,0.0,0.0,103066.485
103114.9535,103114.9535,103064.954,103064.954,0.0,0.0,103089.95375
103086.635,103086.635,103086.635,103086.635,0.0,0.0,103086.635
103125.6075,103125.6075,103125.6075,103125.6075,0.0,0.0,103125.6075
103195.185,103195.185,103195.185,103195.185,0.0,0.0,103195.185
103225.9185,103225.9185,103225.9185,103225.9185,0.0,0.0,103225.9185
103239.755,103292.0545,103239.755,103292.0545,0.0,0.0,103265.90475
103269.897,103269.897,103269.897,103269.897,0.0,0.0,103269.897
103280.57,103280.57,103280.57,103280.57,0.0,0.0,103280.57
103295.91,103295.91,103295.91,103295.91,0.0,0.0,103295.91
103265.05,103306.75,103199.6,103306.75,0.004806787,1.0,103199.6
103254.9855,103254.9855,103205.315,103205.315,0.0,0.0,103230.15025
103160.29,103160.29,103068.026,103068.026,0.0,0.0,103114.158
103042.931,103042.931,103042.931,103042.931,0.0,0.0,103042.931
102982.7965,102982.7965,102982.7965,102982.7965,0.0,0.0,102982.7965
103044.108,103044.108,102982.497,102982.497,0.0,0.0,103013.3025
102910.71,102910.71,102910.71,102910.71,0.0,0.0,102910.71
102884.095,102884.095,102884.095,102884.095,0.0,0.0,102884.095
